127.0.0.1 - - [22/Jul/2016:18:48:28 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:48:30 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:48:48 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:48:50 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:48:53 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:49:32 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:49:43 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [22/Jul/2016:18:49:43 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [22/Jul/2016:19:02:55 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 331
