127.0.0.1 - - [23/Jul/2016:00:49:39 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:49:42 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:50:56 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:51:45 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:51:46 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:52:48 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:53:07 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:53:18 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:56:42 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Jul/2016:00:56:55 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Jul/2016:01:01:31 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 430
