127.0.0.1 - - [27/Jul/2016:01:40:29 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:40:32 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:41:03 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:41:12 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:41:13 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:41:48 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:42:09 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:44:52 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:45:24 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:51:24 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:51:28 -0500] "GET /Prueba-1/Pug HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [27/Jul/2016:01:52:00 -0500] "GET /Prueba-1/indexprueba.jsp HTTP/1.1" 200 744
